quran_text,ur_meaning,en_meaning
بِنِعْمَةٍ,ساتھ نعمت کے,with (the) Favor
مِّنَ,سے,of
اللّٰهِ,اللہ کی طرف,Allah
وَفَضْلٍ,اور فضل کے,and Bounty
لَّمْ,نہیں,not
یَمْسَسْهُمْ,چھوا ان کو,touched them
سُوْٓءٌ,کسی تکلیف نے۔ کسی نقصان نے,any harm
وَّاتَّبَعُوْا,اور انہوں نے پیروی کی,And they followed
رِضْوَانَ,رضا کی,(the) pleasure
اللّٰهِؕ,اللہ کی,(of) Allah
وَاللّٰهُ,اور اللہ,and Allah
ذُوْ,والا ہے,(is) Possessor
فَضْلٍ,فضل,(of) Bounty
عَظِیْمٍ,بڑے,great
اِنَّمَا,بیشک,(It is) only
ذٰلِكُمُ,یہ,that
الشَّیْطٰنُ,شیطان ہے,the Shaitaan
یُخَوِّفُ,جو ڈراتا ہے,frightens (you)
اَوْلِیَآءَه۪ٗ,اپنے دوستوں کو,(of) his allies
فَلَا,تو نہ,So (do) not
تَخَافُوْهُمْ,تم ڈرو ان سے,fear them
وَخَافُوْنِ,اور ڈرو مجھ سے,but fear Me
اِنْ,اگر,if
كُنْتُمْ,ہو تم,you are
مُّؤْمِنِیْنَ,مومن۔ ایمان لانے والے,believers
وَلَا,اور نہ,And (let) not
یَحْزُنْكَ,غمگین کریں تجھ کو,grieve you
الَّذِیْنَ,وہ لوگ,those who
یُسَارِعُوْنَ,جو جلدی کرتے ہیں,hasten
فِی,میں,in(to)
الْكُفْرِۚ,کفر,[the] disbelief
اِنَّهُمْ,بیشک وہ,Indeed they
لَنْ,ہرگز نہیں,never
یَّضُرُّوا,نقصان دے سکتے,will harm
اللّٰهَ,اللہ کو,Allah
شَیْـًٔاؕ,کچھ بھی,(in) anything
یُرِیْدُ,چاہتا ہے,intends
اللّٰهُ,اللہ,Allah
اَلَّا,کہ نہ,that not
یَجْعَلَ,رکھے,He will set
لَهُمْ,ان کے لیے,for them
حَظًّا,کوئی حصہ,any portion
فِی,میں,in
الْاٰخِرَةِۚ,آخرت (میں),the Hereafter
وَلَهُمْ,اور ان کے لیے,And for them
عَذَابٌ,عذاب ہے,(is) a punishment
عَظِیْمٌ,بڑا,great
اِنَّ,بیشک,Indeed
الَّذِیْنَ,وہ لوگ,those who
اشْتَرَوُا,جنہوں نے خرید لیا,(have) purchased
الْكُفْرَ,کفر کو,[the] disbelief
بِالْاِیْمَانِ,بدلے ایمان کے,with the faith
لَنْ,ہرگز نہیں,never
یَّضُرُّوا,وہ نقصان دے سکتے,will they harm
اللّٰهَ,اللہ کو,Allah
شَیْـًٔاۚ,کچھ بھی,(in) anything
وَلَهُمْ,اور ان کے لیے,and for them
عَذَابٌ,عذاب ہے,(is) a punishment
اَلِیْمٌ,دردناک,painful
وَلَا,اور نہ,And (let) not
یَحْسَبَنَّ,گمان کریں,think
الَّذِیْنَ,وہ لوگ,those who
كَفَرُوْۤا,جنہوں نے کفر کیا,disbelieved
اَنَّمَا,بیشک جو,that
نُمْلِیْ,ڈھیل دے رہے ہیں,We give respite
لَهُمْ,واسطے ان کے,to them
خَیْرٌ,بہتر ہے,(is) good
لِّاَنْفُسِهِمْؕ,ان کے نفسوں کے لیے,for themselves
اِنَّمَا,بیشک,Only
نُمْلِیْ,ہم مہلت دے رہے ہیں,We give respite
لَهُمْ,واسطے ان کے,to them
لِیَزْدَادُوْۤا,تاکہ وہ بڑھ جائیں,so that they may increase
اِثْمًاۚ,گناہ میں,(in) sins
وَلَهُمْ,اور ان کے لیے,and for them
عَذَابٌ,عذاب ہے,(is) a punishment
مُّهِیْنٌ,رسوا کرنے والا,humiliating
مَا,نہیں,Not
كَانَ,ہے,is
اللّٰهُ,اللہ,Allah
لِیَذَرَ,کہ چھوڑ دے,to leave
الْمُؤْمِنِیْنَ,مومنوں کو,the believers
عَلٰی,اوپر,on
مَاۤ,(اس کے) جو,what
اَنْتُمْ,ہو تم,you (are)
عَلَیْهِ,اوپر اس کے (جس حال پر ہو),in [it]
حَتّٰی,یہاں تک کہ,until
یَمِیْزَ,وہ چھانٹ دے,He separates
الْخَبِیْثَ,ناپاک کو,the evil
مِنَ,سے,from
الطَّیِّبِؕ,پاک سے,the good
وَمَا,اور نہیں,And not
كَانَ,ہے,is
اللّٰهُ,اللہ تعالیٰ,Allah
لِیُطْلِعَكُمْ,کہ آگاہ کرے تم کو,to inform you
عَلَی,اوپر,about
الْغَیْبِ,غیب کے,the unseen
وَلٰكِنَّ,اور لیکن,[and] but
اللّٰهَ,اللہ تعالیٰ,Allah
یَجْتَبِیْ,چن لیتا ہے,chooses
مِنْ,سے,from
رُّسُلِهٖ,اپنے رسولوں میں سے,His Messengers
مَنْ,جس کو,whom
یَّشَآءُ۪,چاہتا ہے,He wills
فَاٰمِنُوْا,پس ایمان لاؤ,so believe
بِاللّٰهِ,اللہ پر,in Allah
وَرُسُلِهٖۚ,اور اس کے رسولوں پر,and His Messengers
وَاِنْ,اور اگر,and if
تُؤْمِنُوْا,تم ایمان لاؤ گے,you believe
وَتَتَّقُوْا,اور تقوی کرو گے,and fear (Allah)
فَلَكُمْ,تو تمہارے لیے ہے,then for you
اَجْرٌ,اجر,(is a) reward
عَظِیْمٌ,بہت بڑا,great
وَلَا,اور نہ,And (let) not
یَحْسَبَنَّ,گمان کریں,think
الَّذِیْنَ,وہ لوگ,those who
یَبْخَلُوْنَ,جو بخل کرتے ہیں,withhold
بِمَاۤ,ساتھ اس کے جو,of what
اٰتٰىهُمُ,عطا کیا ان کو,(has) given them
اللّٰهُ,اللہ نے,Allah
مِنْ,سے,of
فَضْلِهٖ,اپنے فضل سے,His Bounty
هُوَ,وہ,(that) it
خَیْرًا,اچھا ہے۔ بہتر ہے,(is) good
لَّهُمْؕ,ان کے لیے,for them
بَلْ,بلکہ,Nay
هُوَ,وہ,it
شَرٌّ,برا ہے,(is) bad
لَّهُمْؕ,ان کے لیے۔ بدتر ہے ان کے لیے,for them
سَیُطَوَّقُوْنَ,عنقریب وہ طوق پہنائے جائیں گے جو۔ اس کا,Their necks will be encircled
مَا,جو,(with) what
بَخِلُوْا,انہوں نے بخل کیا,they withheld
بِهٖ,ساتھ اس کے,[with it]
یَوْمَ,دن,(on the) Day
الْقِیٰمَةِؕ,قیامت کے,(of) [the] Resurrection
وَلِلّٰهِ,اور اللہ ہی کے لیے ہے,And for Allah
مِیْرَاثُ,میراث,(is the) heritage
السَّمٰوٰتِ,آسمانوں کی,(of) the heavens
وَالْاَرْضِؕ,اور زمین کی,and the earth
وَاللّٰهُ,اور اللہ,And Allah
بِمَا,ساتھ اس کے جو,with what
تَعْمَلُوْنَ,تم عمل کرتے ہو,you do
خَبِیْرٌ,باخبر ہے,(is) All-Aware
لَقَدْ,البتہ تحقیق,Certainly
سَمِعَ,سن لی,heard
اللّٰهُ,اللہ نے,Allah
قَوْلَ,بات,(the) saying
الَّذِیْنَ,ان لوگوں کی,(of) those who
قَالُوْۤا,جنہوں نے کہا,said
اِنَّ,بیشک,Indeed
اللّٰهَ,اللہ,Allah
فَقِیْرٌ,محتاج ہے۔ فقیر ہے,(is) poor
وَّنَحْنُ,اور ہم,while we
اَغْنِیَآءُۘ,غنی ہیں۔ امیر ہیں,(are) rich
سَنَكْتُبُ,عنقریب ہم لکھ لیں گے اس کو,We will record
مَا,جو,what
قَالُوْا,انہوں نے کہا ہے,they said
وَقَتْلَهُمُ,اور قتل کرنا ان کا,and their killing
الْاَنْۢبِیَآءَ,نبیوں کو,the Prophets
بِغَیْرِ,نا,without
حَقٍّۚ,حق,(any) right
وَّنَقُوْلُ,اور ہم کہیں گے,and We will say
ذُوْقُوْا,چکھو,Taste
عَذَابَ,عذاب,(the) punishment
الْحَرِیْقِ,جلنے کا,(of) the Burning Fire
ذٰلِكَ,یہ,That
بِمَا,بوجہ اس کے جو,(is) because
قَدَّمَتْ,آگے بھیجا,(of what) sent forth
اَیْدِیْكُمْ,تمہارے ہاتھوں نے,your hands
وَاَنَّ,اور بیشک,and that
اللّٰهَ,اللہ تعالیٰ,Allah
لَیْسَ,نہیں ہے,is not
بِظَلَّامٍ,بہت ظلم کرنے والا,unjust
لِّلْعَبِیْدِ,بندوں کے لیے,to (His) slaves
اَلَّذِیْنَ,وہ لوگ,Those who
قَالُوْۤا,جنہوں نے کہا,said
اِنَّ,بیشک,Indeed
اللّٰهَ,اللہ نے,Allah
عَهِدَ,عہد لے رکھا ہے,(has) taken promise
اِلَیْنَاۤ,ہم سے,from us
اَلَّا,کہ نہ,that not
نُؤْمِنَ,ہم ایمان لائیں,we (should) believe
لِرَسُوْلٍ,کسی رسول کے لیے,in a Messenger
حَتّٰی,یہاں تک کہ,until
یَاْتِیَنَا,وہ لائے ہمارے پاس,he brings to us
بِقُرْبَانٍ,ایک قربانی,a sacrifice
تَاْكُلُهُ,کھاجائے اس کو,consumes it
النَّارُؕ,آگ,the fire
قُلْ,کہہ دیجیے,Say
قَدْ,تحقیق,Surely
جَآءَكُمْ,آئے تھے تمہارے پاس,came to you
رُسُلٌ,کئی رسول,Messengers
مِّنْ,سے,from
قَبْلِیْ,مجھ سے پہلے,before me
بِالْبَیِّنٰتِ,ساتھ روشن دلائل کے,with the clear Signs
وَبِالَّذِیْ,اور ساتھ اس چیز کے جو,and with what
قُلْتُمْ,کہا تم نے,you speak
فَلِمَ,تو کیوں,So why
قَتَلْتُمُوْهُمْ,قتل کیا تم نے ان کو,you killed them
اِنْ,اگر,if
كُنْتُمْ,ہو تم,you are
صٰدِقِیْنَ,سچے,truthful
فَاِنْ,پھر اگر,Then if
كَذَّبُوْكَ,انہوں نے جھٹلایا تجھ کو,they reject you
فَقَدْ,تو تحقیق,then certainly
كُذِّبَ,جھٹلائے گئے,were rejected
رُسُلٌ,کئی رسول,Messengers
مِّنْ,سے,from
قَبْلِكَ,تجھ سے پہلے,before you
جَآءُوْ,وہ لائے,(who) came
بِالْبَیِّنٰتِ,روشن دلائل,with the clear Signs
وَالزُّبُرِ,اور صحیفے,and the Scriptures
وَالْكِتٰبِ,اور کتاب,and the Book
الْمُنِیْرِ,روشن,[the] Enlightening
كُلُّ,ہر,Every
نَفْسٍ,نفس,soul
ذَآىِٕقَةُ,چکھنے والا ہے,(will) taste
الْمَوْتِؕ,موت کو,[the] death
وَاِنَّمَا,اور بیشک,and only
تُوَفَّوْنَ,تم پورے کر کے دیے جاؤ گے,you will be paid in full
اُجُوْرَكُمْ,اپنے اجر,your reward
یَوْمَ,دن,(on the) Day
الْقِیٰمَةِؕ,قیامت,(of) [the] Resurrection
فَمَنْ,تو جو کوئی,Then whoever
زُحْزِحَ,دور کیا گیا۔ ہٹا دیا گیا,is drawn away
عَنِ,سے,from
النَّارِ,آگ,the Fire
وَاُدْخِلَ,اور داخل کردیا گیا,and admitted
الْجَنَّةَ,جنت میں,(to) Paradise
فَقَدْ,تو تحقیق,then surely
فَازَؕ,وہ کامیاب ہوا,he is successful
وَمَا,اور نہیں,And not
الْحَیٰوةُ,زندگی,(is) the life
الدُّنْیَاۤ,دنیا کی,(of) the world
اِلَّا,مگر,except
مَتَاعُ,سامان,enjoyment
الْغُرُوْرِ,دھوکے کا,(of) delusion
لَتُبْلَوُنَّ,البتہ ضرور آزمائے جاؤ گے,You will certainly be tested
فِیْۤ,میں,in
اَمْوَالِكُمْ,اپنے مالوں,your wealth
وَاَنْفُسِكُمْ۫,اور اپنے نفسوں میں,and yourselves
وَلَتَسْمَعُنَّ,اور البتہ تم ضرور سنو گے,And you will certainly hear
مِنَ,سے,from
الَّذِیْنَ,ان لوگوں,those who
اُوْتُوا,جو دیے گئے,were given
الْكِتٰبَ,کتاب,the Book
مِنْ,سے,from
قَبْلِكُمْ,تم سے قبل,before you
وَمِنَ,اور  سے,and from
الَّذِیْنَ,ان لوگوں سے,those who
اَشْرَكُوْۤا,جنہوں نے شرک کیا,associate partners with Allah
اَذًی,اذیت۔ تکلیف,hurtful things
كَثِیْرًاؕ,بہت سی,many
وَاِنْ,اور اگر,and if
تَصْبِرُوْا,تم صبر کرو,you are patient
وَتَتَّقُوْا,اور تم تقوی کرو,and fear (Allah)
فَاِنَّ,تو بیشک,then indeed
ذٰلِكَ,یہ,that
مِنْ,سے,(is) of
عَزْمِ,عزم کے,the matters
الْاُمُوْرِ,کاموں میں سے ہے۔ بڑی ہمت کے کاموں میں سے ہے,(of) determination
وَاِذْ,اور جب,And when
اَخَذَ,لیا,took
اللّٰهُ,اللہ نے,Allah
مِیْثَاقَ,پختہ عہد,a Covenant
الَّذِیْنَ,ان لوگوں سے,(from) those who
اُوْتُوا,جو دیے گئے,were given
الْكِتٰبَ,کتاب,the Book
لَتُبَیِّنُنَّهٗ,التبہ تم ضرور بیان کرو گے اس کو,You certainly make it clear
لِلنَّاسِ,لوگوں کے لیے,to the mankind
وَلَا,اور نہ,and (do) not
تَكْتُمُوْنَهٗؗۗ,تم چھپاؤ گے اس کو,conceal it
فَنَبَذُوْهُ,تو انہوں نے پھینک دیا اس کو,Then they threw it
وَرَآءَ,پیچھے,behind
ظُهُوْرِهِمْ,اپنی پیٹھوں کے,their backs
وَاشْتَرَوْا,اور انہوں نے بیچ ڈالا,and they exchanged
بِهٖ,اس کو,[with] it
ثَمَنًا,قیمت کے عوض,(for) a price
قَلِیْلًاؕ,تھوڑی,little
فَبِئْسَ,تو کتنا برا ہے,And wretched
مَا,جو,(is) what
یَشْتَرُوْنَ,وہ خریدوفروخت کررہے ہیں,they purchase
لَا,نہ,(Do) not
تَحْسَبَنَّ,تم خیال کرو,think
الَّذِیْنَ,ان لوگوں کو,(that) those who
یَفْرَحُوْنَ,جو خوش ہورہے ہیں,rejoice
بِمَاۤ,ساتھ اس کے جو,in what
اَتَوْا,وہ لائے,(they have) brought
وَّیُحِبُّوْنَ,اور وہ محبت رکھتے ہیں۔ چاہتے ہیں,and they love
اَنْ,کہ,that
یُّحْمَدُوْا,وہ تعریف کیے جائیں,they be praised
بِمَا,ساتھ اس کے جو,for what
لَمْ,نہیں,not
یَفْعَلُوْا,انہوں نے کیا,they do
فَلَا,تو نہ,so (do) not
تَحْسَبَنَّهُمْ,تم خیال کرو ان کو۔ تم گمان کرو ان کو,think (that) they
بِمَفَازَةٍ,کامیاب ہونا,(will) escape
مِّنَ,سے,from
الْعَذَابِۚ,عذاب,the punishment
وَلَهُمْ,اور ان کے لیے,and for them
عَذَابٌ,عذاب ہے,(is a) punishment
اَلِیْمٌ,دردناک,painful
وَلِلّٰهِ,اور اللہ کے لیے ہے,And for Allah
مُلْكُ,بادشاہت ہے,(is the) dominion
السَّمٰوٰتِ,آسمانوں کی,(of) the heavens
وَالْاَرْضِؕ,اور زمین کی,and the earth
وَاللّٰهُ,اور اللہ,and Allah
عَلٰی,اوپر,(is) on
كُلِّ,ہر,every
شَیْءٍ,چیز کے,thing
قَدِیْرٌ,قادر ہے,All-Powerful
اِنَّ,بیشک,Indeed
فِیْ,میں,in
خَلْقِ,پیدائش (میں),(the) creation
السَّمٰوٰتِ,آسمانوں,(of) the heavens
وَالْاَرْضِ,اور زمین کی,and the earth
وَاخْتِلَافِ,اور اختلاف,and (in the) alternation
الَّیْلِ,رات کا(ایک دوسرے کا رات کے پیچھے آنا ),(of) the night
وَالنَّهَارِ,اور دن کا,and the day
لَاٰیٰتٍ,البتہ نشانیاں ہیں,(are) surely Signs
لِّاُولِی,والوں  کے لیے,for men
الْاَلْبَابِ,عقل,(of) understanding
الَّذِیْنَ,یہ وہ لوگ ہیں,Those who
یَذْكُرُوْنَ,جو یاد کرتے ہیں,remember
اللّٰهَ,اللہ کو,Allah
قِیٰمًا,کھڑی حالت میں,standing
وَّقُعُوْدًا,اور بیٹھی حالت میں,and sitting
وَّعَلٰی,اور اوپر,and on
جُنُوْبِهِمْ,اپنے پہلوؤں کے۔ کروٹوں کے,their sides
وَیَتَفَكَّرُوْنَ,اور غور و فکر کرتے ہیں,and they reflect
فِیْ,میں,on
خَلْقِ,پیدائش,(the) creation
السَّمٰوٰتِ,آسمانوں کی,(of) the heavens
وَالْاَرْضِۚ,اور زمین کی پیدائش میں (وہ کہہ اٹھتے ہیں),and the earth
رَبَّنَا,اے ہمارے رب,Our Lord
مَا,نہیں,not
خَلَقْتَ,تو نے پیدا کیا,You have created
هٰذَا,یہ (سب),this
بَاطِلًاۚ,باطل۔ ناحق۔ بےفائدہ۔ بےمقصد,(in) vain
سُبْحٰنَكَ,پاک ہے تو,Glory be to You
فَقِنَا,پس بچا ہم کو,so save us
عَذَابَ,عذاب سے,(from the) punishment
النَّارِ,آگ کے,(of) the Fire
رَبَّنَاۤ,اے ہمارے رب,Our Lord
اِنَّكَ,بیشک تو,indeed [You]
مَنْ,جس کو,whom
تُدْخِلِ,تو داخل کرے گا,You admit
النَّارَ,آگ میں,(to) the Fire
فَقَدْ,تو تحقیق,then surely
اَخْزَیْتَهٗؕ,تو نے رسوا کیا اس کو,You (have) disgraced him
وَمَا,اور نہیں,and not
لِلظّٰلِمِیْنَ,ظالموں کے لیے,for the wrongdoers
مِنْ,کوئی,(are) any
اَنْصَارٍ,مددگار,helpers
رَبَّنَاۤ,اے ہمارے رب,Our Lord
اِنَّنَا,بیشک ہم,indeed we
سَمِعْنَا,سنا ہم نے,[we] heard
مُنَادِیًا,ایک پکارنے والے کو,a caller
